symbol,time_bin,polarity,polarity_3d,polarity_5d
AAPL,2023-03-28,0.6666666666666666,0.5978162071602506,0.5022055624551767
AAPL,2023-03-29,1.0,0.7989081035801253,0.6681370416367844
AAPL,2023-03-30,0.42857142857142855,0.613739766075777,0.5882818372816658
AAPL,2023-03-31,0.5555555555555556,0.5846476608156663,0.5773730767062958
AAPL,2023-04-01,1.0,0.7923238304078332,0.7182487178041972
AAPL,2023-04-02,1.0,0.8961619152039166,0.8121658118694648
AAPL,2023-04-03,-0.2,0.34808095760195834,0.47477720791297656
AAPL,2023-04-04,1.0,0.6740404788009792,0.6498514719419843
AAPL,2023-04-05,0.1111111111111111,0.3925757949560451,0.47027135166502665
AAPL,2023-04-06,1.0,0.6962878974780226,0.6468475677766844
AAPL,2023-04-07,1.0,0.8481439487390112,0.7645650451844563
AAPL,2023-04-08,1.0,0.9240719743695056,0.8430433634563043
AAPL,2023-04-09,1.0,0.9620359871847528,0.8953622423042029
AAPL,2023-04-10,1.0,0.9810179935923764,0.9302414948694686
AAPL,2023-04-11,0.75,0.8655089967961882,0.8701609965796459
AAPL,2023-04-12,0.3333333333333333,0.5994211650647607,0.6912184421642084
AAPL,2023-04-13,0.0,0.29971058253238037,0.46081229477613894
AAPL,2023-04-14,1.0,0.6498552912661901,0.6405415298507593
AAPL,2023-04-15,1.0,0.8249276456330951,0.7603610199005062
AAPL,2023-04-16,0.3333333333333333,0.5791304894832142,0.6180184577114486
AAPL,2023-04-17,0.38461538461538464,0.48187293704929945,0.540217433346094
AAPL,2023-04-18,0.45454545454545453,0.46820919579737696,0.5116601070792142
AAPL,2023-04-19,1.0,0.7341045978986884,0.6744400713861428
AAPL,2023-04-20,1.0,0.8670522989493442,0.7829600475907619
AAPL,2023-04-21,0.6,0.7335261494746721,0.7219733650605079
AAPL,2023-04-23,1.0,0.866763074737336,0.8146489100403387
AAPL,2023-04-24,0.5,0.683381537368668,0.7097659400268925
AAPL,2023-04-25,1.0,0.841690768684334,0.8065106266845951
AAPL,2023-04-26,0.2,0.520845384342167,0.6043404177897301
AAPL,2023-04-27,1.0,0.7604226921710835,0.7362269451931535
AAPL,2023-04-28,0.6,0.6802113460855417,0.6908179634621023
AAPL,2023-04-29,1.0,0.8401056730427708,0.7938786423080683
AAPL,2023-04-30,0.0,0.4200528365213854,0.5292524282053789
AAPL,2023-05-01,0.7142857142857143,0.5671692754035499,0.5909301902321574
AAPL,2023-05-02,0.6666666666666666,0.6169179710351083,0.6161756823769938
AAPL,2023-05-03,0.3333333333333333,0.47512565218422076,0.5218948993624404
AAPL,2023-05-04,0.0,0.23756282609211038,0.3479299329082936
AAPL,2023-05-05,0.0,0.11878141304605519,0.2319532886055291
AAPL,2023-05-06,-0.3333333333333333,-0.10727596014363906,0.043524414625908316
AAPL,2023-05-07,0.0,-0.05363798007181953,0.029016276417272214
AAPL,2023-05-08,0.5,0.22318100996409024,0.18601085094484812
AAPL,2023-05-09,0.42857142857142855,0.3258762192677594,0.26686437682037495
AAPL,2023-05-10,1.0,0.6629381096338797,0.51124291788025
AAPL,2023-05-11,0.5,0.5814690548169399,0.5074952785868334
AAPL,2023-05-12,0.3333333333333333,0.4574011940751366,0.44944129683566675
AAPL,2023-05-14,1.0,0.7287005970375683,0.6329608645571112
AAPL,2023-05-15,-1.0,-0.13564970148121586,0.08864057637140753
AAPL,2023-05-16,0.3333333333333333,0.09884181592605873,0.17020482869204948
AAPL,2023-05-17,0.6,0.3494209079630294,0.31346988579469964
AAPL,2023-05-18,0.5,0.4247104539815147,0.37564659052979976
AAPL,2023-05-19,-0.5,-0.037644773009242655,0.08376439368653321
AAPL,2023-05-20,1.0,0.4811776134953787,0.38917626245768877
AAPL,2023-05-22,1.0,0.7405888067476893,0.5927841749717925
